NOC,Sport,Medal_Increase_With_Coach
SWE,Sailing,3.051179862457621
SWE,Swimming,5.017947817192236
SWE,Tennis,1.0844119077230054
SWE,Tug-Of-War,10.262662363151211
SWE,Water Polo,10.481192135899501
SWE,Wrestling,4.580888271695655
TUR,Athletics,10.481192135899501
UNK,Art Competitions,11.573840999640957
USA,Art Competitions,11.792370772389246
USA,Cycling,8.077364635668305
USA,Diving,10.699721908647792
USA,Equestrianism,9.170013499409759
USA,Fencing,5.455007362688817
USA,Modern Pentathlon,11.792370772389246
USA,Swimming,8.732953953913176
USA,Tennis,11.792370772389246
USA,Wrestling,11.573840999640955
ARG,Boxing,11.792370772389246
AUS,Athletics,10.262662363151211
AUS,Cycling,11.355311226892665
AUS,Diving,11.792370772389246
AUS,Swimming,8.514424181164886
AUS,Tennis,11.792370772389246
BEL,Archery,0.8658821349747132
BEL,Art Competitions,10.699721908647792
BEL,Boxing,9.170013499409759
BEL,Cycling,6.766185999178561
BEL,Diving,11.355311226892665
BEL,Equestrianism,6.110596680933688
BEL,Fencing,2.6141203169610385
BEL,Figure Skating,11.573840999640954
BEL,Football,8.951483726661468
BEL,Gymnastics,0.42882258947813234
BEL,Hockey,8.951483726661468
BEL,Ice Hockey,10.481192135899501
BEL,Polo,11.136781454144375
BEL,Rowing,7.640305090171724
BEL,Sailing,8.951483726661468
BEL,Swimming,8.295894408416595
BEL,Tennis,5.017947817192237
BEL,Tug-Of-War,10.262662363151211
BEL,Water Polo,10.262662363151211
BEL,Weightlifting,10.481192135899501
BEL,Wrestling,8.951483726661468
BRA,Diving,11.355311226892665
BRA,Rowing,10.918251681396082
BRA,Shooting,7.640305090171723
BRA,Swimming,11.573840999640957
BRA,Water Polo,10.262662363151211
CAN,Athletics,7.203245544675142
CAN,Boxing,10.262662363151211
CAN,Cycling,7.640305090171724
CAN,Diving,11.355311226892665
CAN,Ice Hockey,10.262662363151211
CAN,Rowing,10.918251681396082
CAN,Shooting,9.60707304490634
CAN,Swimming,10.481192135899501
CAN,Wrestling,11.792370772389246
CHI,Athletics,11.573840999640955
